499 {'ptime': 1665410400, 'popen': 19315.02, 'phigh': 19341.48, 'plow': 19291.77, 'pclose': 19327.9, 'ma7': 0, 'ma25': 0, 'ma99': 0, 'below': False, 'above': True} 19114.24 19134.63
464 {'ptime': 1665828900, 'popen': 19118.25, 'phigh': 19179.63, 'plow': 19105.59, 'pclose': 19170.15, 'ma7': 19107.057142857146, 'ma25': 19154.015600000002, 'ma99': 19296.581313131315, 'below': False, 'above': False} 19093.8 19199.0
463 {'ptime': 1665828000, 'popen': 19108.28, 'phigh': 19122.44, 'plow': 19093.8, 'pclose': 19118.25, 'ma7': 19111.34285714286, 'ma25': 19157.325200000003, 'ma99': 19301.202626262628, 'below': True, 'above': False} 19086.35 19199.0
462 {'ptime': 1665827100, 'popen': 19118.43, 'phigh': 19120.94, 'plow': 19086.35, 'pclose': 19107.75, 'ma7': 19119.097142857147, 'ma25': 19160.852400000003, 'ma99': 19306.09070707071, 'below': True, 'above': False} 19086.35 19199.0
461 {'ptime': 1665826200, 'popen': 19097.76, 'phigh': 19125.0, 'plow': 19095.79, 'pclose': 19117.99, 'ma7': 19126.52571428571, 'ma25': 19163.8144, 'ma99': 19311.13282828283, 'below': True, 'above': False} 19085.0 19199.0
460 {'ptime': 1665825300, 'popen': 19101.94, 'phigh': 19106.14, 'plow': 19085.0, 'pclose': 19098.14, 'ma7': 19137.15714285714, 'ma25': 19167.24, 'ma99': 19316.292626262628, 'below': True, 'above': False} 19063.39 19199.0
459 {'ptime': 1665824400, 'popen': 19069.85, 'phigh': 19105.0, 'plow': 19063.39, 'pclose': 19101.94, 'ma7': 19142.994285714285, 'ma25': 19171.064000000002, 'ma99': 19321.042121212122, 'below': True, 'above': False} 19037.39 19199.0
458 {'ptime': 1665823500, 'popen': 19134.89, 'phigh': 19136.67, 'plow': 19037.39, 'pclose': 19070.68, 'ma7': 19158.21142857143, 'ma25': 19175.7992, 'ma99': 19327.01484848485, 'below': True, 'above': False} 19037.39 19199.0
457 {'ptime': 1665822600, 'popen': 19148.25, 'phigh': 19158.0, 'plow': 19093.11, 'pclose': 19135.36, 'ma7': 19162.924285714285, 'ma25': 19177.287200000002, 'ma99': 19332.139191919192, 'below': True, 'above': False} 19037.39 19199.0
456 {'ptime': 1665821700, 'popen': 19162.56, 'phigh': 19166.16, 'plow': 19144.47, 'pclose': 19147.44, 'ma7': 19166.345714285715, 'ma25': 19177.5724, 'ma99': 19336.896363636362, 'below': True, 'above': False} 19037.39 19199.0
455 {'ptime': 1665820800, 'popen': 19170.43, 'phigh': 19176.27, 'plow': 19148.78, 'pclose': 19162.56, 'ma7': 19168.68, 'ma25': 19178.0132, 'ma99': 19342.312424242427, 'below': False, 'above': False} 19037.39 19199.0
454 {'ptime': 1665819900, 'popen': 19172.18, 'phigh': 19176.15, 'plow': 19164.16, 'pclose': 19169.79, 'ma7': 19167.721428571425, 'ma25': 19178.623199999998, 'ma99': 19348.3897979798, 'below': False, 'above': False} 19037.39 19199.0
453 {'ptime': 1665819000, 'popen': 19142.8, 'phigh': 19174.61, 'plow': 19142.01, 'pclose': 19171.73, 'ma7': 19168.25571428571, 'ma25': 19179.4048, 'ma99': 19354.66787878788, 'below': True, 'above': False} 19037.39 19199.0
452 {'ptime': 1665818100, 'popen': 19176.37, 'phigh': 19182.47, 'plow': 19133.16, 'pclose': 19142.03, 'ma7': 19172.338571428572, 'ma25': 19181.031999999996, 'ma99': 19361.52666666667, 'below': False, 'above': False} 19037.39 19199.0
451 {'ptime': 1665817200, 'popen': 19167.88, 'phigh': 19179.74, 'plow': 19161.14, 'pclose': 19176.37, 'ma7': 19172.377142857145, 'ma25': 19182.012, 'ma99': 19368.03252525253, 'below': True, 'above': False} 19037.39 19199.0
